hub,target,kept_Aerobic,kept_Anaerobic,q_Aerobic,q_Anaerobic,r_Aerobic,r_Anaerobic,category,delta_r
RPA0051,PRPA2,False,False,0.014981242205622025,0.001965291769186864,0.44736967251419346,0.5423515462281825,none_kept,-0.09498187371398903
RPA0051,PRPA5,False,False,0.6213818023505052,0.6837603947173297,0.11244595897269771,0.09461942111829924,none_kept,0.017826537854398472
RPA0051,RPA0002,False,False,0.25441927583270596,0.37748047639716586,0.23477720047956052,0.18792370770893857,none_kept,0.04685349277062195
RPA0051,RPA0004,False,False,0.013323089189213842,0.5382820502037187,-0.45374560233749783,-0.13691459515082502,none_kept,-0.3168310071866728
RPA0051,RPA0008,False,False,0.8392401363181543,0.14289560031380572,-0.049800008087304545,-0.29169914364483285,none_kept,0.2418991355575283
RPA0051,RPA0009,False,False,1.6429428975239738e-05,0.17345830653392452,-0.6897982456387891,-0.27379199356271017,none_kept,-0.41600625207607894
RPA0051,RPA0010,False,False,0.5989665572607316,0.44460140777320223,0.11885551322887511,-0.1658132500386132,none_kept,0.2846687632674883
RPA0051,RPA0016,False,False,0.5335696375647564,5.6969979254319394e-05,-0.13836121358118514,0.6581969726067143,none_kept,-0.7965581861878994
RPA0051,RPA0018,False,False,0.8808419648526835,0.20793319203254074,-0.03753614101736015,0.2560642032378549,none_kept,-0.29360034425521503
RPA0051,RPA0021,False,False,0.11546293555470787,0.14252770056789804,0.3102289685275619,0.2919256322949638,none_kept,0.018303336232598055
RPA0051,RPA0022,False,False,0.20542070905378448,0.4474675971065472,-0.25729404607768974,0.1649131141982512,none_kept,-0.42220716027594096
RPA0051,RPA0025,False,False,0.9087427830557506,0.1337184373176071,0.029233052902089933,0.2975776622218822,none_kept,-0.26834460931979226
RPA0051,RPA0027,False,False,3.2728279593476195e-05,0.5198172682971597,-0.6727762254036794,0.1424478398712164,none_kept,-0.8152240652748959
RPA0051,RPA0028,False,False,0.004546572707868163,0.6198847205148462,-0.5064460192192836,0.11287096905958233,none_kept,-0.6193169882788658
RPA0051,RPA0030,False,False,1.4480244182415687e-05,0.002739617787501149,0.6926918794269499,0.5286274890134983,none_kept,0.16406439041345156
RPA0051,RPA0031,False,False,0.3471053174330603,0.6003744689600103,-0.1985276997622586,0.11844879603355618,none_kept,-0.31697649579581477
RPA0051,RPA0035,False,False,0.0023113526530028805,0.6759308220419816,-0.5357275587689194,0.09683044002399362,none_kept,-0.6325579987929131
RPA0051,RPA0036,False,False,0.0007808144791946697,0.3048541814285431,-0.5772885130735173,-0.2142463926480888,none_kept,-0.36304212042542844
RPA0051,RPA0037,False,False,0.010501206619380745,2.2605615615156492e-05,0.46612525651276426,0.6820154541213195,none_kept,-0.2158901976085552
RPA0051,RPA0038,False,False,0.06239423227469455,0.4845450619565026,-0.3581807465818939,0.153264490078596,none_kept,-0.5114452366604899
RPA0051,RPA0041,False,False,0.10127575103072953,0.0803376164949611,0.3211174037293226,0.3393933592204462,none_kept,-0.018275955491123597
RPA0051,RPA0043,False,False,0.007348078518178006,0.532272548290791,-0.4840421145559657,0.1387635615264387,none_kept,-0.6228056760824043
RPA0051,RPA0045,False,False,0.0008124272379105813,0.003612186737152985,-0.5758795165974426,-0.5167225285213684,none_kept,-0.05915698807607428
RPA0051,RPA0046,False,False,0.0004031923069133927,0.0013392492885852436,0.5999951841052615,0.5574024625820795,none_kept,0.04259272152318205
RPA0051,RPA0047,False,False,0.002371118358243022,0.015416836347369222,-0.5346835008443096,-0.44583282130488777,none_kept,-0.08885067953942183
RPA0051,RPA0048,False,False,1.886011613929262e-05,0.002248861709716909,-0.6865033044424993,-0.5368489462243246,none_kept,-0.14965435821817474
RPA0051,RPA0049,False,False,0.40863165236162463,0.6789758756597915,-0.17741054395320116,-0.0960067646025138,none_kept,-0.08140377935068736
RPA0051,RPA0050,False,False,0.46765537097560594,0.4824157163044072,-0.15852977579192018,0.15390675998120074,none_kept,-0.3124365357731209
RPA0051,RPA0052,False,False,0.00791300652311247,0.14898644335930614,-0.48044143585981247,-0.28794436301127646,none_kept,-0.192497072848536
RPA0051,RPA0053,False,False,0.706302234698125,0.5788265145136531,-0.0882146068250785,0.1247818892813209,none_kept,-0.21299649610639942
RPA0051,RPA0054,False,False,0.003790159233501045,0.45028747208853565,0.5145942447689684,0.16398222287396033,none_kept,0.35061202189500806
RPA0051,RPA0055,False,False,0.024396030682143122,0.1291348814335201,-0.4196551249864332,-0.3006448263052419,none_kept,-0.11901029868119128
RPA0051,RPA0058,False,False,0.15246644178275065,0.5866378915155982,-0.2858309010413649,-0.12251037548928992,none_kept,-0.16332052555207496
RPA0051,RPA0059,False,False,0.14468091351792328,0.5646440840175417,0.290603099150497,-0.12903022986890902,none_kept,0.419633329019406
RPA0051,RPA0060,False,False,0.0005094444953977342,0.46639867046950273,-0.5921144950581004,-0.15891943405601455,none_kept,-0.4331950610020859
RPA0051,RPA0061,False,False,8.714981321740812e-05,0.15831383162365528,0.6465396002250008,0.28242374130760406,none_kept,0.36411585891739673
RPA0051,RPA0063,False,False,0.00020755774972260372,0.06526480098193828,0.6211579523715769,0.3549315279882702,none_kept,0.2662264243833067
RPA0051,RPA0064,False,False,1.0632508461321442e-05,0.7056287995873085,-0.6998103803094768,-0.08838834020683983,none_kept,-0.611422040102637
RPA0051,RPA0065,False,False,0.00014166332972841267,0.17885074896771805,-0.6325502077735381,0.27089659882950506,none_kept,-0.9034468066030432
RPA0051,RPA0066,False,False,0.00019520580519158577,0.0036159836689575848,-0.6230570058252324,-0.5166741435818616,none_kept,-0.10638286224337079
RPA0051,RPA0067,False,False,0.3945914033746803,0.6365061269677453,-0.18210835617177132,0.10811134974089825,none_kept,-0.29021970591266955
RPA0051,RPA0068,False,False,0.22091654853928475,0.0002219340276767563,-0.2498406184674244,-0.6190947756303579,none_kept,0.36925415716293347
RPA0051,RPA0069,False,False,0.15497671263436807,0.3284321984345386,0.2843685570358604,0.2053545864523316,none_kept,0.0790139705835288
RPA0051,RPA0070,False,False,0.10844665058748565,0.3923432458816596,0.31545017377465623,0.18288733631853044,none_kept,0.1325628374561258
RPA0051,RPA0071,False,False,0.8952885682670606,0.0030361924705385912,0.03325806851572799,0.5241966626872903,none_kept,-0.49093859417156227
RPA0051,RPA0073,False,False,0.052190154086456095,0.9074585924230257,-0.3707678115936587,0.029630165330817766,none_kept,-0.40039797692447643
RPA0051,RPA0075,False,False,0.6974200189722826,0.0004371871223936645,0.09075438642370615,0.597324928118915,none_kept,-0.5065705416952089
RPA0051,RPA0076,False,False,0.004314722095303655,0.005640991699790475,0.5088152861548264,0.49662053002181006,none_kept,0.012194756133016349
RPA0051,RPA0078,False,False,0.3778103424467333,0.11093550750313859,-0.18781956786825485,-0.3135700307391979,none_kept,0.12575046287094307
RPA0051,RPA0080,False,False,0.3770881191491518,0.01721609642614353,0.1880632359767319,-0.43968473431569294,none_kept,0.6277479702924249
RPA0051,RPA0083,False,False,0.013643594465720024,0.00010985745008217067,0.4524381597067902,0.6400296688910173,none_kept,-0.18759150918422712
RPA0051,RPA0085,False,False,0.0070555643239440455,0.4068527962631849,-0.4859837228487004,-0.17800817811909292,none_kept,-0.3079755447296075
RPA0051,RPA0089,False,False,0.3086562789382382,0.18760708663421613,-0.21277686632157025,-0.2662308070843362,none_kept,0.05345394076276597
RPA0051,RPA0090,False,False,0.029500134313751335,0.40649668684044066,0.40796350635527334,-0.1781198959362216,none_kept,0.5860834022914949
RPA0051,RPA0091,False,False,0.024873250108553374,0.39313092071111144,-0.41846214810430604,-0.18262024566641882,none_kept,-0.23584190243788722
RPA0051,RPA0092,False,False,0.033631825957482805,0.36235574170015467,-0.39986165866930884,-0.19319637092596725,none_kept,-0.20666528774334159
RPA0051,RPA0095,False,False,0.8401359269302388,7.226621197331973e-06,0.049549182261481584,0.7084339758446677,none_kept,-0.6588847935831861
RPA0051,RPA0109,False,False,2.419823931074531e-05,0.6091552766557146,0.680360270906289,-0.11593256796909157,none_kept,0.7962928388753806
RPA0051,RPA0118,False,False,0.004418775891278756,0.006292176305895797,0.5077637814575168,0.49149302320410815,none_kept,0.016270758253408624
RPA0051,RPA0119,False,False,0.015485155446944444,0.0009626680286477558,0.44558910636697296,0.5697007391949734,none_kept,-0.12411163282800047
RPA0051,RPA0122,False,False,0.0006120062745838516,0.771839649534745,-0.5857979008084522,-0.06936991725580915,none_kept,-0.5164279835526431
RPA0051,RPA0136,False,False,4.227865061643595e-05,0.7679951752273491,-0.6661051901110389,0.07049512818010126,none_kept,-0.7366003182911401
RPA0051,RPA0139,False,False,0.0024191989906540887,0.003203849303892198,-0.5338690697838552,-0.5219266656452495,none_kept,-0.0119424041386057
RPA0051,RPA0144,False,False,0.0758317894118537,0.3175898903743699,-0.343843517753118,-0.20937594588853056,none_kept,-0.13446757186458744
RPA0051,RPA0147,False,False,0.0019328843177806921,0.044172941805741446,-0.5430374990557638,-0.3821053047649195,none_kept,-0.16093219429084432
RPA0051,RPA0157,False,False,0.7546233973342936,0.010015849835585584,-0.07419944156351584,-0.46859551192656324,none_kept,0.3943960703630474
RPA0051,RPA0158,False,False,0.01571297584854989,0.7088408340705097,0.44479771810717494,0.08740947954133912,none_kept,0.3573882385658358
RPA0051,RPA0159,False,False,5.34977327220981e-06,0.0051638939812881195,0.715116473131829,0.5007242802522914,none_kept,0.2143921928795376
RPA0051,RPA0162,False,False,0.005643973127366192,7.392423944619577e-07,0.4965923041397166,0.7542225650676677,none_kept,-0.2576302609279511
RPA0051,RPA0164,False,False,0.3133253299159973,0.18953061330892945,0.21098564179321844,0.2652099117789196,none_kept,-0.05422426998570118
RPA0051,RPA0168,False,False,0.030925901001083157,0.05060048707757843,-0.4050953016929376,-0.37287862300950975,none_kept,-0.03221667868342787
RPA0051,RPA0169,False,False,0.677662211185958,0.008080695291005266,0.09636458579517233,0.4794362679622494,none_kept,-0.3830716821670771
RPA0051,RPA0170,False,False,0.5639426408460932,0.0001649884225305671,-0.12922138333002953,0.6280472853588416,none_kept,-0.7572686686888711
RPA0051,RPA0171,False,False,0.6083723240051996,0.0491462626171461,-0.11616266485551942,0.37491085571664373,none_kept,-0.49107352057216314
RPA0051,RPA0173,False,False,0.0005508331742272462,0.4436028458595192,-0.5894576750671793,-0.1661020824191634,none_kept,-0.42335559264801587
RPA0051,RPA0174,False,False,0.2584173119515652,0.5759879196323462,0.23306337198187438,0.12558656289012565,none_kept,0.10747680909174873
RPA0051,RPA0175,False,False,0.3987024423394138,0.038813086442302885,-0.18070995603914752,0.39060989442687355,none_kept,-0.5713198504660211
RPA0051,RPA0176,False,False,0.005263106268242345,1.5253099978498712e-07,0.49981933898555564,0.7809713806548617,none_kept,-0.2811520416693061
RPA0051,RPA0178,False,False,0.004589043852365239,0.8556222670789226,-0.5060367668299879,0.04509402232068525,none_kept,-0.5511307891506732
RPA0051,RPA0179,False,False,0.003820960738455195,1.2902680123299287e-05,0.5142483364596733,0.6953793588098398,none_kept,-0.18113102235016654
RPA0051,RPA0180,False,False,0.0037021414136755846,0.0708566666719642,-0.5156469914098324,0.3488940140008935,none_kept,-0.8645410054107259
RPA0051,RPA0185,False,False,0.06543822205818887,0.8159541373309379,-0.3547322588306452,0.05663824981995119,none_kept,-0.4113705086505964
RPA0051,RPA0186,False,False,0.5306833427830193,0.06625648792027929,-0.1392440158816943,-0.35381944963807926,none_kept,0.21457543375638496
RPA0051,RPA0188,False,False,0.024390811406109155,2.4635658535307496e-05,0.4196683171945259,0.6799221674733915,none_kept,-0.2602538502788656
RPA0051,RPA0189,False,False,0.06702573395238645,0.14505358303685648,-0.352949662742004,-0.2903706999573966,none_kept,-0.0625789627846074
RPA0051,RPA0190,False,False,2.040007539750989e-06,0.05022131015238121,0.7350669711652165,0.37340778854393725,none_kept,0.3616591826212792
RPA0051,RPA0191,False,False,1.8477129512641916e-05,1.4128808906220527e-07,0.6870124940187732,0.7821939683137511,none_kept,-0.09518147429497792
RPA0051,RPA0192,False,False,3.170128077535858e-05,3.224750047970039e-05,0.6736179422009658,0.6731679602080514,none_kept,0.00044998199291446106
RPA0051,RPA0193,False,False,0.027660661182500327,0.7772095554718307,-0.4119124791238693,-0.06777893256204882,none_kept,-0.3441335465618205
RPA0051,RPA0196,False,False,0.2218356307135868,0.3340583512946754,0.2493986075594064,-0.20329310556817604,none_kept,0.45269171312758244
RPA0051,RPA0198,False,False,0.011381595314337474,0.8681390646691821,0.4620060374551449,0.041334756034649575,none_kept,0.4206712814204953
RPA0051,RPA0199,False,False,2.306889113393786e-05,0.9296601123251259,0.6814990894569208,0.02266323386332402,none_kept,0.6588358555935968
RPA0051,RPA0202,False,False,0.22077122916221323,0.9331852868775112,-0.24990973659502425,-0.02156212809657993,none_kept,-0.22834760849844432
RPA0051,RPA0206,False,False,0.0009484475430324651,0.000862847965306096,0.5702541818808978,0.5736857305132637,none_kept,-0.003431548632365833
RPA0051,RPA0207,False,False,0.14626935742766925,0.0485854908612058,-0.2896385135856448,-0.3756987793923356,none_kept,0.0860602658066908
RPA0051,RPA0209,False,False,0.7700913550292784,0.007015468060186058,0.06989665147923628,0.4862648397334237,none_kept,-0.4163681882541874
RPA0051,RPA0211,False,False,0.00014547699795997178,0.5174562231885171,-0.6317805501181162,-0.14316406681028693,none_kept,-0.48861648330782925
RPA0051,RPA0215,False,False,0.21008182528969785,0.018198478216069954,0.2550355099876902,-0.4365779228734864,none_kept,0.6916134328611766
RPA0051,RPA0216,False,False,0.03988865615041044,0.9272291497565406,0.3888085885769622,0.0234693404052133,none_kept,0.3653392481717489
RPA0051,RPA0217,False,False,0.003407549407803635,0.03955134302108745,-0.5192452280882036,-0.38938025471149607,none_kept,-0.12986497337670755
RPA0051,RPA0218,False,False,0.08826520654265922,0.3832825079621406,0.33209293260725525,0.18594755347695538,none_kept,0.14614537913029987
RPA0051,RPA0221,False,False,0.0041787664572986724,0.5970417855812554,-0.5102706174076866,-0.1194214024012623,none_kept,-0.39084921500642433
RPA0051,RPA0222,False,False,0.7655351612378679,0.27636974228594563,0.07117728329050087,-0.2255664995634405,none_kept,0.2967437828539414
RPA0051,RPA0224,False,False,0.845300818763117,0.5129905624853964,-0.04813005694808795,0.14453135698430547,none_kept,-0.19266141393239342
RPA0051,RPA0225,False,False,0.18252696962830986,0.6356473354066653,-0.26891865211947796,0.10834719539533899,none_kept,-0.37726584751481695
RPA0051,RPA0227,False,True,0.037018800460772175,6.693992673924402e-09,0.39363307466370234,0.8246651151430167,An_only,-0.4310320404793143
