protein,module,in_GR_module
RPA3661,13,True
RPA3662,2,True
RPA3663,1,True
RPA3669,1,True
RPA3671,2,True
RPA3679,10,False
RPA3680,20,False
RPA3685,14,False
RPA3687,14,False
RPA3691,6,False
RPA3693,2,True
RPA3694,2,True
RPA3696,8,False
RPA3700,8,False
RPA3701,3,True
RPA3702,22,False
RPA3706,13,True
RPA3707,3,True
RPA3708,4,False
RPA3713,2,True
RPA3714,1,True
RPA3715,1,True
RPA3717,6,False
RPA3724,12,False
RPA3725,12,False
RPA3726,10,False
RPA3729,9,True
RPA3730,1,True
RPA3732,11,False
RPA3735,1,True
RPA3740,21,False
RPA3741,2,True
RPA3742,6,False
RPA3743,14,False
RPA3744,1,True
RPA3745,2,True
RPA3749,17,False
RPA3751,3,True
RPA3755,13,True
RPA3756,2,True
RPA3759,8,False
RPA3760,13,True
RPA3761,8,False
RPA3762,7,True
RPA3763,13,True
RPA3764,1,True
RPA3766,2,True
RPA3770,11,False
RPA3771,1,True
RPA3773,3,True
RPA3776,1,True
RPA3778,5,False
RPA3779,3,True
RPA3781,2,True
RPA3785,12,False
RPA3786,3,True
RPA3790,3,True
RPA3791,7,True
RPA3798,4,False
RPA3799,1,True
RPA3801,4,False
RPA3802,13,True
RPA3803,8,False
RPA3804,2,True
RPA3809,14,False
RPA3810,17,False
RPA3815,5,False
RPA3817,11,False
RPA3818,4,False
RPA3819,2,True
RPA3820,1,True
RPA3822,13,True
RPA3825,10,False
RPA3827,20,False
RPA3831,1,True
RPA3834,4,False
RPA3841,17,False
RPA3847,7,True
RPA3848,7,True
RPA3849,15,False
RPA3856,8,False
RPA3861,15,False
RPA3864,10,False
RPA3868,2,True
RPA3871,6,False
RPA3872,10,False
RPA3875,6,False
RPA3876,6,False
RPA3881,11,False
RPA3886,1,True
RPA3887,1,True
RPA3889,20,False
RPA3892,3,True
RPA3895,1,True
RPA3896,17,False
RPA3898,14,False
RPA3899,15,False
RPA3900,1,True
RPA3902,10,False
RPA3906,12,False
RPA3908,3,True
RPA3913,13,True
RPA3914,1,True
RPA3915,13,True
RPA3919,10,False
RPA3923,5,False
RPA3924,10,False
RPA3929,7,True
RPA3930,1,True
RPA3931,13,True
RPA3932,3,True
RPA3937,1,True
RPA3940,12,False
RPA3943,2,True
RPA3947,19,False
RPA3952,9,True
RPA3954,1,True
RPA3956,2,True
RPA3958,15,False
RPA3960,13,True
RPA3961,2,True
RPA3964,8,False
RPA3966,1,True
RPA3972,17,False
RPA3973,10,False
RPA3974,6,False
RPA3978,14,False
RPA3979,12,False
RPA3984,11,False
RPA3985,5,False
RPA3987,8,False
RPA3988,3,True
RPA3992,8,False
RPA4008,4,False
RPA4015,6,False
RPA4016,9,True
RPA4018,1,True
RPA4019,17,False
RPA4024,10,False
RPA4025,4,False
RPA4029,10,False
RPA4031,1,True
RPA4033,9,True
RPA4034,5,False
RPA4042,8,False
RPA4045,12,False
RPA4048,1,True
RPA4049,1,True
RPA4052,22,False
RPA4053,9,True
RPA4054,1,True
RPA4067,8,False
RPA4069,2,True
RPA4071,6,False
RPA4072,1,True
RPA4074,12,False
RPA4076,13,True
RPA4077,1,True
RPA4078,2,True
RPA4081,3,True
RPA4088,7,True
RPA4089,17,False
RPA4090,2,True
RPA4092,1,True
RPA4105,3,True
RPA4119,3,True
RPA4128,1,True
RPA4129,1,True
RPA4130,13,True
RPA4133,1,True
RPA4134,1,True
RPA4137,1,True
RPA4138,1,True
RPA4141,1,True
RPA4142,10,False
RPA4143,4,False
RPA4147,3,True
RPA4148,3,True
RPA4149,2,True
RPA4152,9,True
RPA4154,15,False
RPA4155,2,True
RPA4156,5,False
RPA4160,2,True
RPA4170,8,False
RPA4174,4,False
RPA4175,9,True
RPA4176,15,False
RPA4177,15,False
RPA4178,1,True
RPA4179,2,True
RPA4180,22,False
RPA4182,7,True
RPA4187,7,True
RPA4188,11,False
RPA4190,1,True
RPA4191,15,False
RPA4192,5,False
RPA4193,6,False
RPA4194,8,False
RPA4196,4,False
RPA4198,8,False
RPA4200,8,False
RPA4206,2,True
RPA4208,2,True
RPA4212,4,False
RPA4213,6,False
RPA4214,1,True
RPA4216,1,True
RPA4217,21,False
RPA4223,12,False
RPA4225,2,True
RPA4227,2,True
RPA4230,5,False
RPA4232,9,True
RPA4236,18,False
RPA4244,3,True
RPA4245,3,True
RPA4246,7,True
RPA4247,3,True
RPA4248,7,True
RPA4249,3,True
RPA4250,11,False
RPA4251,3,True
RPA4259,7,True
RPA4260,14,False
RPA4261,3,True
RPA4266,1,True
RPA4267,1,True
RPA4268,13,True
RPA4269,2,True
RPA4271,7,True
RPA4272,2,True
RPA4282,9,True
RPA4284,3,True
RPA4285,12,False
RPA4286,12,False
RPA4288,18,False
RPA4293,3,True
RPA4294,14,False
RPA4295,16,False
RPA4297,5,False
RPA4302,19,False
RPA4304,16,False
RPA4305,22,False
RPA4306,4,False
RPA4307,3,True
RPA4308,6,False
RPA4309,9,True
RPA4311,3,True
RPA4313,3,True
RPA4320,1,True
RPA4321,10,False
RPA4325,15,False
RPA4327,1,True
RPA4328,3,True
RPA4329,17,False
RPA4332,12,False
RPA4333,7,True
RPA4336,16,False
RPA4337,9,True
RPA4344,19,False
RPA4346,4,False
RPA4347,15,False
RPA4351,4,False
RPA4352,8,False
RPA4354,4,False
RPA4355,5,False
RPA4356,2,True
RPA4357,1,True
RPA4359,1,True
RPA4360,2,True
RPA4361,1,True
RPA4366,4,False
RPA4368,11,False
RPA4369,2,True
RPA4370,8,False
RPA4371,1,True
RPA4372,22,False
RPA4377,11,False
RPA4378,8,False
RPA4380,17,False
RPA4381,8,False
RPA4382,9,True
RPA4383,1,True
RPA4393,1,True
RPA4394,11,False
RPA4395,1,True
RPA4402,16,False
RPA4403,4,False
RPA4404,5,False
RPA4412,5,False
RPA4418,1,True
RPA4419,2,True
RPA4420,2,True
RPA4423,1,True
RPA4424,10,False
RPA4425,8,False
RPA4430,20,False
RPA4431,17,False
RPA4433,14,False
RPA4434,5,False
RPA4436,9,True
RPA4439,1,True
RPA4440,11,False
RPA4441,6,False
RPA4442,10,False
RPA4443,1,True
RPA4447,1,True
RPA4449,15,False
RPA4451,14,False
RPA4452,3,True
RPA4453,3,True
RPA4457,20,False
RPA4460,3,True
RPA4463,10,False
RPA4464,2,True
RPA4465,2,True
RPA4466,20,False
RPA4467,10,False
RPA4468,10,False
RPA4469,1,True
RPA4470,13,True
RPA4471,19,False
RPA4474,2,True
RPA4478,2,True
RPA4482,2,True
RPA4484,13,True
RPA4486,3,True
RPA4487,21,False
RPA4489,18,False
RPA4494,16,False
RPA4498,4,False
RPA4499,9,True
RPA4502,1,True
RPA4503,1,True
RPA4504,6,False
RPA4505,1,True
RPA4506,15,False
RPA4510,1,True
RPA4513,6,False
RPA4519,11,False
RPA4522,3,True
RPA4525,8,False
RPA4530,14,False
RPA4531,6,False
RPA4533,1,True
RPA4535,21,False
RPA4550,1,True
RPA4551,19,False
RPA4556,6,False
RPA4562,10,False
RPA4563,17,False
RPA4568,1,True
RPA4569,6,False
RPA4571,12,False
RPA4572,15,False
RPA4573,12,False
RPA4578,3,True
RPA4584,10,False
RPA4585,1,True
RPA4596,1,True
RPA4635,7,True
RPA4636,3,True
RPA4639,1,True
RPA4641,7,True
RPA4642,7,True
RPA4644,3,True
RPA4645,7,True
RPA4646,2,True
RPA4648,2,True
RPA4650,1,True
RPA4652,13,True
RPA4654,10,False
RPA4655,14,False
RPA4656,5,False
RPA4657,1,True
RPA4658,1,True
RPA4661,4,False
RPA4663,7,True
RPA4667,13,True
RPA4668,8,False
RPA4669,5,False
RPA4673,1,True
RPA4677,13,True
RPA4678,3,True
RPA4679,15,False
RPA4685,12,False
RPA4688,2,True
RPA4691,3,True
RPA4692,12,False
RPA4693,2,True
RPA4694,7,True
RPA4696,4,False
RPA4697,8,False
RPA4699,4,False
RPA4700,8,False
RPA4701,2,True
RPA4702,4,False
RPA4703,2,True
RPA4705,11,False
RPA4707,17,False
RPA4708,8,False
RPA4709,15,False
RPA4717,3,True
RPA4719,22,False
RPA4722,3,True
RPA4724,12,False
RPA4728,2,True
RPA4729,9,True
RPA4730,10,False
RPA4731,1,True
RPA4733,17,False
RPA4736,14,False
RPA4738,1,True
RPA4739,1,True
RPA4740,2,True
RPA4742,1,True
RPA4743,6,False
RPA4744,11,False
RPA4748,16,False
RPA4749,14,False
RPA4750,4,False
RPA4751,2,True
RPA4756,1,True
RPA4760,3,True
RPA4766,1,True
RPA4767,2,True
RPA4768,9,True
RPA4770,8,False
RPA4771,7,True
RPA4775,4,False
RPA4776,2,True
RPA4780,21,False
RPA4784,7,True
RPA4786,1,True
RPA4787,16,False
RPA4791,1,True
RPA4796,6,False
RPA4797,16,False
RPA4798,2,True
RPA4799,4,False
RPA4803,22,False
RPA4804,2,True
RPA4805,2,True
RPA4807,12,False
RPA4809,9,True
RPA4813,6,False
RPA4815,8,False
RPA4817,7,True
RPA4818,3,True
RPA4819,3,True
RPA4820,7,True
RPA4821,9,True
RPA4823,10,False
RPA4824,15,False
RPA4828,21,False
RPA4829,1,True
RPA4832,4,False
RPA4834,8,False
RPA4835,13,True
RPA4836,13,True
PRPA2,4,False
PRPA5,2,True
