protein,module,in_GR_module
RPA0778,3,True
RPA0782,22,False
RPA0784,7,True
RPA0787,7,True
RPA0794,3,True
RPA0802,7,True
RPA0806,12,False
RPA0816,7,True
RPA0817,4,False
RPA0818,1,True
RPA0820,5,False
RPA0823,3,True
RPA0825,11,False
RPA0826,1,True
RPA0829,8,False
RPA0831,2,True
RPA0840,4,False
RPA0842,10,False
RPA0843,1,True
RPA0844,1,True
RPA0847,1,True
RPA0848,5,False
RPA0849,22,False
RPA0850,13,True
RPA0852,7,True
RPA0854,7,True
RPA0855,1,True
RPA0856,13,True
RPA0860,21,False
RPA0862,14,False
RPA0865,5,False
RPA0866,2,True
RPA0867,5,False
RPA0870,3,True
RPA0872,1,True
RPA0873,12,False
RPA0875,16,False
RPA0876,4,False
RPA0880,15,False
RPA0884,21,False
RPA0885,10,False
RPA0887,16,False
RPA0889,8,False
RPA0890,15,False
RPA0891,2,True
RPA0892,1,True
RPA0897,11,False
RPA0906,13,True
RPA0907,1,True
RPA0909,10,False
RPA0910,10,False
RPA0912,21,False
RPA0913,13,True
RPA0914,1,True
RPA0915,14,False
RPA0916,1,True
RPA0917,1,True
RPA0918,2,True
RPA0921,4,False
RPA0922,2,True
RPA0932,7,True
RPA0933,7,True
RPA0934,7,True
RPA0936,2,True
RPA0937,5,False
RPA0938,4,False
RPA0939,1,True
RPA0940,4,False
RPA0941,1,True
RPA0943,9,True
RPA0944,16,False
RPA0945,2,True
RPA0947,15,False
RPA0951,14,False
RPA0952,6,False
RPA0953,1,True
RPA0954,18,False
RPA0956,1,True
RPA0958,3,True
RPA0974,3,True
RPA0981,11,False
RPA0983,2,True
RPA0984,3,True
RPA0985,5,False
RPA0994,10,False
RPA0997,2,True
RPA0999,8,False
RPA1001,7,True
RPA1004,1,True
RPA1007,3,True
RPA1009,19,False
RPA1011,1,True
RPA1013,3,True
RPA1015,20,False
RPA1016,7,True
RPA1022,1,True
RPA1025,17,False
RPA1027,9,True
RPA1028,10,False
RPA1036,9,True
RPA1037,1,True
RPA1038,22,False
RPA1040,11,False
RPA1047,22,False
RPA1048,1,True
RPA1053,9,True
RPA1056,6,False
RPA1057,3,True
RPA1060,2,True
RPA1067,5,False
RPA1068,9,True
RPA1069,3,True
RPA1076,2,True
RPA1081,5,False
RPA1082,19,False
RPA1092,2,True
RPA1094,6,False
RPA1097,1,True
RPA1100,12,False
RPA1101,10,False
RPA1102,14,False
RPA1106,2,True
RPA1110,1,True
RPA1114,3,True
RPA1118,13,True
RPA1119,11,False
RPA1120,12,False
RPA1123,21,False
RPA1124,1,True
RPA1126,14,False
RPA1130,13,True
RPA1131,13,True
RPA1134,10,False
RPA1137,1,True
RPA1139,11,False
RPA1140,14,False
RPA1141,1,True
RPA1142,14,False
RPA1144,2,True
RPA1146,15,False
RPA1149,1,True
RPA1150,11,False
RPA1151,5,False
RPA1155,4,False
RPA1157,2,True
RPA1163,1,True
RPA1167,9,True
RPA1168,4,False
RPA1169,2,True
RPA1174,3,True
RPA1175,1,True
RPA1177,15,False
RPA1178,6,False
RPA1181,2,True
RPA1182,2,True
RPA1183,11,False
RPA1184,2,True
RPA1186,2,True
RPA1190,16,False
RPA1193,7,True
RPA1194,2,True
RPA1195,9,True
RPA1197,1,True
RPA1198,2,True
RPA1199,18,False
RPA1200,8,False
RPA1201,13,True
RPA1204,17,False
RPA1205,15,False
RPA1210,3,True
RPA1212,20,False
RPA1217,5,False
RPA1218,9,True
RPA1220,7,True
RPA1223,3,True
RPA1226,17,False
RPA1228,3,True
RPA1235,8,False
RPA1236,4,False
RPA1237,4,False
RPA1240,7,True
RPA1243,1,True
RPA1244,1,True
RPA1245,19,False
RPA1246,1,True
RPA1259,2,True
RPA1260,7,True
RPA1261,2,True
RPA1262,11,False
RPA1263,2,True
RPA1265,1,True
RPA1267,2,True
RPA1268,2,True
RPA1276,4,False
RPA1277,10,False
RPA1278,1,True
RPA1281,2,True
RPA1284,13,True
RPA1285,2,True
RPA1287,1,True
RPA1288,6,False
RPA1291,20,False
RPA1297,9,True
RPA1298,3,True
RPA1301,20,False
RPA1303,9,True
RPA1304,15,False
RPA1307,17,False
RPA1356,15,False
RPA1357,7,True
RPA1362,10,False
RPA1365,6,False
RPA1414,5,False
RPA1415,1,True
RPA1416,4,False
RPA1417,5,False
RPA1423,3,True
RPA1424,3,True
RPA1428,9,True
RPA1430,1,True
RPA1441,3,True
RPA1442,7,True
RPA1446,1,True
RPA1449,1,True
RPA1451,4,False
RPA1463,1,True
RPA1484,18,False
RPA1488,1,True
RPA1489,1,True
RPA1494,3,True
RPA1495,3,True
RPA1497,18,False
RPA1499,19,False
RPA1506,7,True
RPA1507,3,True
RPA1510,9,True
RPA1512,17,False
RPA1513,7,True
RPA1514,4,False
RPA1515,9,True
RPA1518,1,True
RPA1519,3,True
RPA1521,4,False
RPA1522,7,True
RPA1524,6,False
RPA1525,3,True
RPA1527,3,True
RPA1528,7,True
RPA1532,7,True
RPA1535,17,False
RPA1539,2,True
RPA1542,15,False
RPA1543,14,False
RPA1544,15,False
RPA1545,7,True
RPA1546,7,True
RPA1548,9,True
RPA1549,9,True
